,longitude,latitude,zipcode,num_bedrooms,num_bathrooms,listing_price,neighborhood,street_address
1198,-97.81668,30.21091,78745,1.0,1.0,95.0,Circle C Ranch,6719 Lancret Hill Drive
1199,-97.7398,30.30499,78751,2.0,2.0,400.0,Rosedale,Gables Central Park West 38th Street
1200,-97.71831,30.28146,78722,3.0,3.0,145.0,Montopolis,2200 East 20th Street
1201,-97.73318,30.24856,78741,1.0,1.0,300.0,,Lady Bird Lake Hike and Bike Trail - Boardwalk Sunnydale
1202,-97.89452,30.18654,78739,4.0,4.0,1099.0,Circle C,6603 Needham Lane
1203,-97.73157,30.30923,78751,1.0,1.0,249.0,Hyde Park,Avenue B Grocery 4403
1204,-97.73074,30.2472,78741,1.0,1.0,350.0,East Riverside,Lady Bird Lake Hike and Bike Trail - Boardwalk Sunnydale
1205,-97.79381,30.13875,78747,1.0,1.0,450.0,Greater South River City,10915 Crown Colony Drive
1206,-97.7439,30.28343,78705,1.0,1.0,150.0,,1909 Nueces Street
1207,-97.74712,30.23617,78704,3.0,3.0,349.0,St. Edwards,905 East Oltorf Street
1208,-97.92159,30.32754,78732,4.0,4.0,572.0,Steiner Ranch,12503 River Bend
1209,-97.73225,30.2608,78702,1.0,1.0,350.0,East Downtown,1108 East 2nd Street
1210,-97.82356,30.17313,78748,1.0,1.0,22.0,,Exxon West Slaughter Lane
1211,-97.76592,30.28518,78703,3.0,3.0,600.0,West Austin,1306 Winsted Lane
1212,-97.71782,30.27217,78702,2.0,2.0,207.0,Rosewood,1180 Alamo Street
1213,-97.72465,30.25179,78702,1.0,1.0,150.0,Holly,2009 Haskell Street
1214,-97.77196,30.26161,78704,1.0,1.0,150.0,Zilker,1030 1/2 Barton Hills Drive
1215,-97.68404,30.47757,78728,2.0,2.0,350.0,,The District on La Frontera office 2811
1216,-97.76552,30.25626,78704,2.0,2.0,154.0,,Evergreen Heights Austin
1217,-97.73279,30.29599,78705,2.0,2.0,300.0,University of Texas,403 East 33rd Street
