,street_address,zipcode,latitude,longitude,num_bedrooms,num_bathrooms,rent_price,sqft,type,URL
101,7400 Tonka Ln,78744,,,4.0,2.0,2400.0,1632.0, SingleFamily,https://www.zillow.com/homedetails/7400-Tonka-Ln-Austin-TX-78744/305433340_zpid/
102,2402 Rio Grande St APT 1,78705,,,1.0,1.0,1100.0,319.0, Condo,https://www.zillow.com/homedetails/2402-Rio-Grande-St-APT-1-Austin-TX-78705/2110841865_zpid/
105,6112 Calmar Cv #A,78721,,,3.0,2.5,3600.0,1922.0, Condo,https://www.zillow.com/homedetails/6112-Calmar-Cv-A-Austin-TX-78721/2070987418_zpid/
106,107 W Crestland Dr,78752,,,3.0,2.0,2700.0,1144.0, SingleFamily,https://www.zillow.com/homedetails/107-W-Crestland-Dr-Austin-TX-78752/29416481_zpid/
107,7609 Crossmeadow Dr,78750,,,3.0,2.0,3900.0,2158.0, SingleFamily,https://www.zillow.com/homedetails/7609-Crossmeadow-Dr-Austin-TX-78750/58299481_zpid/
109,9903 Ullswater Ln,78750,,,4.0,3.5,4250.0,3570.0, SingleFamily,https://www.zillow.com/homedetails/9903-Ullswater-Ln-Austin-TX-78750/29370765_zpid/
110,2312 Marcus Abrams Blvd,78748,,,4.0,2.5,2800.0,2400.0, SingleFamily,https://www.zillow.com/homedetails/2312-Marcus-Abrams-Blvd-Austin-TX-78748/70335387_zpid/
111,(Undisclosed Address),78729,,,1.0,1.0,1500.0,900.0, SingleFamily,https://www.zillow.com/homedetails/Austin-TX-78729/29557309_zpid/
112,1101 San Augustine Dr #B,78733,,,1.0,1.0,1750.0,450.0, Apartment,https://www.zillow.com/homedetails/1101-San-Augustine-Dr-B-Austin-TX-78733/2067783556_zpid/
116,4709 Lake Champlain Ln #163,78754,,,3.0,2.5,2300.0,1861.0, Apartment,https://www.zillow.com/homedetails/4709-Lake-Champlain-Ln-163-Austin-TX-78754/63836032_zpid/
119,2806 Dillion Hill Dr,78745,,,2.0,1.0,2200.0,880.0, SingleFamily,https://www.zillow.com/homedetails/2806-Dillion-Hill-Dr-Austin-TX-78745/58314693_zpid/
122,(Undisclosed Address),78702,,,2.0,1.0,2850.0,936.0, Apartment,https://www.zillow.com/homedetails/Austin-TX-78702/83819381_zpid/
124,4414 Diane Dr #C,78745,,,1.0,1.0,1695.0,740.0, MultiFamily,https://www.zillow.com/homedetails/4414-Diane-Dr-C-Austin-TX-78745/2064351734_zpid/
125,300 Jack Ryan Ln,78748,,,4.0,3.5,3500.0,3517.0, SingleFamily,https://www.zillow.com/homedetails/300-Jack-Ryan-Ln-Austin-TX-78748/83824157_zpid/
126,1000 E 8th St,78702,,,5.0,5.0,11500.0,3198.0, SingleFamily,https://www.zillow.com/homedetails/1000-E-8th-St-Austin-TX-78702/29385955_zpid/
129,11024 Reliance Creek Dr,78754,,,4.0,2.5,4200.0,2149.0, SingleFamily,https://www.zillow.com/homedetails/11024-Reliance-Creek-Dr-Austin-TX-78754/70338580_zpid/
131,1900 Simond Ave FLOOR 2-ID61,78723,,,1.0,1.0,2750.0,730.0, Apartment,https://www.zillow.com/homedetails/1900-Simond-Ave-FLOOR-2-ID61-Austin-TX-78723/2063429390_zpid/
132,807 W 25th St APT 309,78705,,,2.0,1.0,1650.0,688.0, Condo,https://www.zillow.com/homedetails/807-W-25th-St-APT-309-Austin-TX-78705/29394148_zpid/
133,706 W 24th St APT 202,78705,,,2.0,2.0,1795.0,800.0, Apartment,https://www.zillow.com/homedetails/706-W-24th-St-APT-202-Austin-TX-78705/29394159_zpid/
134,9002 Lodge Ct,78758,,,4.0,2.0,4250.0,1494.0, SingleFamily,https://www.zillow.com/homedetails/9002-Lodge-Ct-Austin-TX-78758/29427462_zpid/
135,6304 Zadock Woods Dr,78749,,,4.0,2.5,16500.0,3464.0, SingleFamily,https://www.zillow.com/homedetails/6304-Zadock-Woods-Dr-Austin-TX-78749/29481457_zpid/
140,7906 Parliament Pl,78759,,,3.0,2.0,2200.0,1456.0, SingleFamily,https://www.zillow.com/homedetails/7906-Parliament-Pl-Austin-TX-78759/29550519_zpid/
