,street_address,zipcode,num_bedrooms,num_bathrooms,home_price,latest_saledate,latest_salemonth,latest_saleyear,URL
121,1103 Bentwood Rd,78722,2,1,568800,28,12,2021,https://www.zillow.com/homedetails/1103-Bentwood-Rd-Austin-TX-78722/29400768_zpid/
122,1105 Clayton Ln,78723,1,1,,14,2,2022,https://www.zillow.com/homedetails/1105-Clayton-Ln-Austin-TX-78723/29407927_zpid/
123,1106 Newning Ave,78704,2,1,2510200,29,9,2021,https://www.zillow.com/homedetails/1106-Newning-Ave-Austin-TX-78704/29381804_zpid/
124,1106 W Annie St,78704,2,1,1023000,26,2,2021,https://www.zillow.com/homedetails/1106-W-Annie-St-Austin-TX-78704/29472079_zpid/
125,1106 W Mary St,78704,3,1,1110600,17,5,2021,https://www.zillow.com/homedetails/1106-W-Mary-St-Austin-TX-78704/29472066_zpid/
126,1107 1/2 Fiesta St,78702,2,1,,5,3,2021,https://www.zillow.com/homedetails/1107-1-2-Fiesta-St-Austin-TX-78702/29386347_zpid/
127,1109 Gardner Cv,78721,4,1,431800,18,2,2022,https://www.zillow.com/homedetails/1109-Gardner-Cv-Austin-TX-78721/29384920_zpid/
128,1110 W 22nd St APT 12,78705,1,1,259200,14,9,2021,https://www.zillow.com/homedetails/1110-W-22nd-St-APT-12-Austin-TX-78705/83124645_zpid/
129,1111 W 10th St APT 101,78703,1,1,282600,10,12,2020,https://www.zillow.com/homedetails/1111-W-10th-St-APT-101-Austin-TX-78703/29327575_zpid/
130,1114 E 3rd St #2,78702,1,1,611800,30,10,2020,https://www.zillow.com/homedetails/1114-E-3rd-St-2-Austin-TX-78702/2077716035_zpid/
131,1115 W 10th St APT 106,78703,1,1,469900,8,3,2021,https://www.zillow.com/homedetails/1115-W-10th-St-APT-106-Austin-TX-78703/110538739_zpid/
132,111 Attayac St,78702,2,1,632200,10,9,2021,https://www.zillow.com/homedetails/111-Attayac-St-Austin-TX-78702/29384302_zpid/
133,1122 Colorado St APT 1108,78701,1,1,,20,12,2019,https://www.zillow.com/homedetails/1122-Colorado-St-APT-1108-Austin-TX-78701/29387375_zpid/
134,1123 Spur St,78721,2,1,517800,24,6,2021,https://www.zillow.com/homedetails/1123-Spur-St-Austin-TX-78721/29387954_zpid/
135,1127 Denfield St,78721,2,1,461400,21,12,2021,https://www.zillow.com/homedetails/1127-Denfield-St-Austin-TX-78721/29388023_zpid/
136,1139 1/2 Poquito St #2,78702,1,1,333900,14,9,2020,https://www.zillow.com/homedetails/1139-1-2-Poquito-St-2-Austin-TX-78702/251029279_zpid/
137,11402 Joy St,78748,2,1,397100,31,8,2021,https://www.zillow.com/homedetails/11402-Joy-St-Austin-TX-78748/112746597_zpid/
138,1147 Brookswood Ave,78721,3,1,625600,8,7,2021,https://www.zillow.com/homedetails/1147-Brookswood-Ave-Austin-TX-78721/29385634_zpid/
139,1171 1/2 Hargrave St,78702,1,1,574600,20,10,2020,https://www.zillow.com/homedetails/1171-1-2-Hargrave-St-Austin-TX-78702/29387841_zpid/
140,1175 Navasota St,78702,2,1,1130600,31,8,2021,https://www.zillow.com/homedetails/1175-Navasota-St-Austin-TX-78702/29386725_zpid/
141,11821 Bittern Holw APT 1,78758,1,1,237600,18,10,2021,https://www.zillow.com/homedetails/11821-Bittern-Holw-APT-1-Austin-TX-78758/29436156_zpid/
142,11912 Shropshire Blvd,78753,2,1,312900,10,5,2021,https://www.zillow.com/homedetails/11912-Shropshire-Blvd-Austin-TX-78753/29434876_zpid/
143,1191 Chicon St,78702,2,1,718600,25,2,2022,https://www.zillow.com/homedetails/1191-Chicon-St-Austin-TX-78702/29387623_zpid/
144,1200 Kenwood Ave,78704,2,1,1163700,27,8,2021,https://www.zillow.com/homedetails/1200-Kenwood-Ave-Austin-TX-78704/29459059_zpid/
145,12010 Thompkins Dr,78753,3,1,418600,8,3,2021,https://www.zillow.com/homedetails/12010-Thompkins-Dr-Austin-TX-78753/29434898_zpid/
146,1201 Grove Blvd APT 1704,78741,1,1,312200,29,6,2021,https://www.zillow.com/homedetails/1201-Grove-Blvd-APT-1704-Austin-TX-78741/70356102_zpid/
147,1201 Grove Blvd APT 2504,78741,1,1,311800,31,8,2021,https://www.zillow.com/homedetails/1201-Grove-Blvd-APT-2504-Austin-TX-78741/70356079_zpid/
148,1201 Grove Blvd APT 2803,78741,1,1,313100,29,11,2021,https://www.zillow.com/homedetails/1201-Grove-Blvd-APT-2803-Austin-TX-78741/70356109_zpid/
149,1201 Grove Blvd APT 601,78741,1,1,320500,24,9,2021,https://www.zillow.com/homedetails/1201-Grove-Blvd-APT-601-Austin-TX-78741/70356035_zpid/
150,1201 S 6th St,78704,2,1,808300,18,1,2022,https://www.zillow.com/homedetails/1201-S-6th-St-Austin-TX-78704/29321951_zpid/
151,1206 Greenwood Ave,78721,2,1,597200,11,2,2022,https://www.zillow.com/homedetails/1206-Greenwood-Ave-Austin-TX-78721/29391103_zpid/
152,1206 Lily Ter,78741,2,1,531200,14,4,2022,https://www.zillow.com/homedetails/1206-Lily-Ter-Austin-TX-78741/29461865_zpid/
153,1206 Marshall Ln,78703,2,1,1370100,1,7,2021,https://www.zillow.com/homedetails/1206-Marshall-Ln-Austin-TX-78703/29329092_zpid/
154,1206 Southwood Rd,78704,2,1,1018900,24,9,2021,https://www.zillow.com/homedetails/1206-Southwood-Rd-Austin-TX-78704/29473478_zpid/
155,1207 Casey St,78745,2,1,,30,9,2021,https://www.zillow.com/homedetails/1207-Casey-St-Austin-TX-78745/29480436_zpid/
156,1207 Marcy St,78745,2,1,,7,5,2021,https://www.zillow.com/homedetails/1207-Marcy-St-Austin-TX-78745/29478807_zpid/
157,1208 Brentwood St,78757,2,1,875600,5,1,2022,https://www.zillow.com/homedetails/1208-Brentwood-St-Austin-TX-78757/29414957_zpid/
158,1209 Hollow Creek Dr APT 1,78704,1,1,,15,4,2022,https://www.zillow.com/homedetails/1209-Hollow-Creek-Dr-APT-1-Austin-TX-78704/2086215591_zpid/
159,1210 Windsor Rd APT 215,78703,1,1,405100,30,3,2021,https://www.zillow.com/homedetails/1210-Windsor-Rd-APT-215-Austin-TX-78703/80090836_zpid/
160,1212 Chicon St #205,78702,1,1,350500,6,7,2021,https://www.zillow.com/homedetails/1212-Chicon-St-205-Austin-TX-78702/305428036_zpid/
161,1212 Guadalupe St APT 308,78701,1,1,308300,8,8,2021,https://www.zillow.com/homedetails/1212-Guadalupe-St-APT-308-Austin-TX-78701/29387316_zpid/
162,12166 Metric Blvd APT 2015,78758,1,1,230400,25,2,2022,https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-2015-Austin-TX-78758/80100714_zpid/
163,12166 Metric Blvd APT 233,78758,1,1,220000,1,10,2021,https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-233-Austin-TX-78758/79981692_zpid/
164,12166 Metric Blvd APT 236,78758,1,1,203200,28,10,2021,https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-236-Austin-TX-78758/80088893_zpid/
165,12166 Metric Blvd APT 258,78758,1,1,238200,30,9,2021,https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-258-Austin-TX-78758/80088339_zpid/
166,12166 Metric Blvd APT 264,78758,1,1,237200,17,2,2022,https://www.zillow.com/homedetails/12166-Metric-Blvd-APT-264-Austin-TX-78758/80099337_zpid/
167,122 Havana St,78704,3,1,917700,20,8,2021,https://www.zillow.com/homedetails/122-Havana-St-Austin-TX-78704/29478345_zpid/
168,12307 Furrow Cv APT B,78753,2,1,244900,23,4,2021,https://www.zillow.com/homedetails/12307-Furrow-Cv-APT-B-Austin-TX-78753/29436766_zpid/
169,1240 Barton Hills Dr APT 103,78704,1,1,395900,19,3,2021,https://www.zillow.com/homedetails/1240-Barton-Hills-Dr-APT-103-Austin-TX-78704/62604742_zpid/
170,1240 Barton Hills Dr APT 115,78704,1,1,351000,2,4,2021,https://www.zillow.com/homedetails/1240-Barton-Hills-Dr-APT-115-Austin-TX-78704/29325613_zpid/
171,127 E Riverside Dr APT 306,78704,1,1,,8,4,2021,https://www.zillow.com/homedetails/127-E-Riverside-Dr-APT-306-Austin-TX-78704/2080772235_zpid/
172,1300 Newning Ave APT 103,78704,1,1,,2,8,2021,https://www.zillow.com/homedetails/1300-Newning-Ave-APT-103-Austin-TX-78704/2101341644_zpid/
