ID,Address,SFT,Beds,Baths,Price
6,"4227 Rawlins St #4 Dallas, TX 75219","2,675 sqft",3bd,3ba,"$745,000"
7,"2422 Centerville Rd Dallas, TX 75228","1,812 sqft",4bd,2ba,"$350,000"
8,"381 E Greenbriar Ln #902 Dallas, TX 75203","2,417 sqft",3bd,4ba,"$684,900"
9,"2958 Talisman Dr Dallas, TX 75229","1,410 sqft",3bd,2ba,"$345,000"
10,"381 E Greenbriar Ln #903 Dallas, TX 75203","2,372 sqft",3bd,4ba,"$669,900"
11,"7832 Royal Ln #208 Dallas, TX 75230","1,167 sqft",2bd,2ba,"$178,000"
12,"1654 Hansboro Ave Dallas, TX 75224","1,900 sqft",3bd,2ba,"$319,900"
13,"12484 Abrams Rd #1724 Dallas, TX 75243","1,006 sqft",2bd,2ba,"$170,000"
14,"7202 Claybrook Dr Dallas, TX 75231","2,403 sqft (on 0.25 acres)",4bd,3ba,"$599,999"
15,"3807 Vilbig Rd Dallas, TX 75212","1,855 sqft",3bd,3ba,"$499,000"
16,"Abode @ White Rock Dallas, TX 75228","3,182 sqft",4bd,4ba,"$909,000+"
17,"3613 Wendelkin St Dallas, TX 75215","2,328 sqft",3bd,2ba,"$489,000"
18,"3920 Avant St Dallas, TX 75215","1,600 sqft",3bd,2ba,"$389,000"
19,"3648 Kimball Ridge Pl Dallas, TX 75233","1,728 sqft (on 0.30 acres)",3bd,2ba,"$349,900"
20,"4004 Vanette Ln Dallas, TX 75216","1,972 sqft",4bd,2ba,"$289,500"
21,"837 Nomas St Dallas, TX 75212",NA,NA,NA,"$2,250,000"
22,"263 W Main St Dallas, TX 75208",NA,NA,NA,"$290,000"
23,"11577 Cromwell Cir Dallas, TX 75229","2,616 sqft (on 0.29 acres)",4bd,2ba,"$595,000"
24,"6628 Vanderbilt Ave Dallas, TX 75214","4,055 sqft",4bd,4ba,"$1,511,181"
25,"103 N Edgefield Ave Dallas, TX 75208","2,499 sqft",3bd,2ba,"$960,000"
26,"2410 Starks Ave Dallas, TX 75215","1,710 sqft",4bd,2ba,"$309,900"
27,"132 Creek Cove Dr Dallas, TX 75217","1,473 sqft",3bd,3ba,"$209,000"
28,"7642 Bryn Mawr Dr Dallas, TX 75225","6,249 sqft",4bd,6ba,"$3,250,000"
29,"7119 E Mockingbird Ln Dallas, TX 75214","2,174 sqft",3bd,3ba,"$695,000"
